Start,End,Lobbyist,Client,Industry,Cluster
2013-12-20,2016-12-23,Richard Suttle,Onion Associates,Real Estate,204
2013-12-20,2016-12-23,Richard Suttle,Austin Quality Schools Collaborative,Public School,797
2013-12-20,2016-12-23,Richard Suttle,Magnolia Montessori for all,Public School,205
2010-12-16,2011-12-16,Sarah Crocker,1600 West 38th,Developer,206
2010-12-16,2011-12-16,Sarah Crocker,Travis Entitlements,Land Use Development,555
2011-11-18,2012-11-17,Snapper Carr,Connecticut General Life Insurance Company,Healthcare Providor,246
2011-11-18,2012-11-17,Brandon Aghamalian,Connecticut General Life Insurance Company,Healthcare Providor,246
2013-10-28,2014-10-28,Michele Haussmann,MPVI,Real Estate Development,898
2013-10-28,2016-10-14,Michele Haussmann,MBC Engineers,Real Estate Development,207
2013-10-28,2016-10-14,Michele Haussmann,American Campus Communities,Real Estate Developement,413
2013-10-28,2016-10-14,Michele Haussmann,Austin Fairchild Management,Real Estate Developement,208
2013-10-28,2016-10-14,Michele Haussmann,Amplify Federal Credit Union,Real Estate Development,209
2013-10-28,2016-10-14,Michele Haussmann,Pecan Street Association,Real Estate Development,65
2012-10-22,2013-10-22,Donald Martin,American Constructors,Construction,380
2012-10-22,2013-10-22,Donald Martin,Journeyman Construction,Construction,210
2012-10-22,2013-10-22,Donald Martin,Fine Line Diversified Development,Real Estate,628
2012-10-22,2013-10-22,Donald Martin,Spurs Sports and Entertainment,Entertainment,211
2012-10-22,2013-10-22,Donald Martin,OHL/Zachary,Construction,225
2012-10-22,2013-10-22,Donald Martin,Don Martin Public Affairs,Public Affairs,212
2012-10-22,2013-10-22,Donald Martin,Brightman Energy,Electric Energy Provider,213
2012-10-22,2013-10-22,Donald Martin,Lynxs,Parking,214
2012-10-22,2013-10-22,Donald Martin,"OHL, USA",Real Estate,623
2011-10-21,2012-10-20,Jack Kirfman,AFSCME 1624,Labor Union,215
2011-10-21,2012-10-20,Jack Kirfman,Austin AFL CIO,Union/Political,216
